,species_name,kingdom,subkingdom,infrakingdom,phylum,subphylum,infraphylum,superclass,class,superorder,order,suborder,family,subfamily,genus,species,tribe,superfamily,na,wormsid_kingdom,wormsid_subkingdom,wormsid_infrakingdom,wormsid_phylum,wormsid_subphylum,wormsid_infraphylum,wormsid_superclass,wormsid_class,wormsid_superorder,wormsid_order,wormsid_suborder,wormsid_family,wormsid_subfamily,wormsid_genus,wormsid_species,wormsid_tribe,wormsid_superfamily,wormsid_na,species_ID
11,campostoma anomalum,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Pogonichthyinae,Campostoma,Campostoma anomalum,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,1198935,1198937,163507,163508,NA,638796,NA,SP84
12,Chirostoma estor,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Atheriniformes,NA,Atherinopsidae,Menidiinae,Chirostoma,Chirostoma estor,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,165429,NA,630579,630585,166063,630719,NA,NA,NA,SP69
13,chrosomus erythrogaster,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Laviniinae,Chrosomus,Chrosomus erythrogaster,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,1198935,1198941,913982,913994,NA,638796,NA,SP83
14,Clupea harengus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Clupeomorpha,Clupeiformes,Clupeoidei,Clupeidae,Clupeinae,Clupea,Clupea harengus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161693,161694,161699,161700,551153,161721,161722,NA,NA,NA,SP26
15,Coregonus clupeaformis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Coregoninae,Coregonus,Coregonus clupeaformis,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161928,161929,NA,161931,623284,161932,161941,NA,NA,NA,SP49
16,Coregonus hoyi,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Coregoninae,Coregonus,Coregonus hoyi,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161928,161929,NA,161931,623284,161932,623394,NA,NA,NA,SP64
17,dicentrarchus labrax,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Moronidae,NA,Dicentrarchus,Dicentrarchus labrax,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,202002,NA,170316,170317,NA,NA,NA,SP5
18,Eleginops maclovinus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Eleginops,Eleginops maclovinus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171099,171103,NA,642496,642813,NA,NA,NA,SP40
19,Eleginus gracilis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Eleginus,Eleginus gracilis,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,164385,164665,NA,164701,550569,164707,164708,NA,NA,NA,SP57
20,Fundulus heteroclitus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Fundulidae,NA,Fundulus,Fundulus heteroclitus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,553130,165614,553174,NA,165644,165647,NA,NA,NA,SP45
21,Fundulus diaphanus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Fundulidae,NA,Fundulus,Fundulus diaphanus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,553130,165614,553174,NA,165644,165646,NA,NA,NA,SP70
22,fundulus heteroclitus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Fundulidae,NA,Fundulus,Fundulus heteroclitus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,553130,165614,553174,NA,165644,165647,NA,NA,NA,SP76
23,gadus morhua,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Gadus,Gadus morhua,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,164385,164665,NA,164701,550569,164710,164712,NA,NA,NA,SP9
24,Gadus macrocephalus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Gadus,Gadus macrocephalus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,164385,164665,NA,164701,550569,164710,164711,NA,NA,NA,SP58
25,Gadus chalcogrammus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Gadus,Gadus chalcogrammus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,164385,164665,NA,164701,550569,164710,934083,NA,NA,NA,SP59
26,Gambusia affinis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Poeciliidae,Poeciliinae,Gambusia,Gambusia affinis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165896,NA,NA,NA,SP19
27,Garra rufa,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Cyprinidae,NA,Garra,Garra rufa,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,163342,NA,163704,689117,NA,638796,NA,SP71
28,geophagus brasiliensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Cichlidae,NA,Geophagus,Geophagus brasiliensis,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,169770,NA,169914,169915,NA,NA,NA,SP30
29,Gymnocephalus cernuus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percidae,NA,Gymnocephalus,Gymnocephalus cernuus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168356,NA,168519,168520,NA,NA,NA,SP63
30,Harpagifer antarcticus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Harpagiferidae,Harpagiferinae,Harpagifer,Harpagifer antarcticus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171099,553224,642445,642458,642860,NA,NA,NA,SP67
31,hippoglossus hippoglossus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Pleuronectiformes,Pleuronectoidei,Pleuronectidae,Hippoglossinae,Hippoglossus,Hippoglossus hippoglossus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,172702,172707,172859,615937,172931,172933,NA,NA,NA,SP38
32,ictiobus bubalus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Catostomidae,Ictiobinae,Ictiobus,Ictiobus bubalus,NA,Cobitoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,163892,638807,163954,163955,NA,638797,NA,SP8
33,Lepidomeda copei,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Plagopterinae,Lepidomeda,Lepidomeda copei,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,1198935,1198938,163570,913987,NA,638796,NA,SP77
34,Lepidopsetta polyxystra,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Pleuronectiformes,Pleuronectoidei,Pleuronectidae,Pleuronectinae,Lepidopsetta,Lepidopsetta polyxystra,Microstomini,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,172702,172707,172859,615941,172879,616392,615946,NA,NA,SP86
35,Lepomis macrochirus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Centrarchidae,NA,Lepomis,Lepomis macrochirus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168093,NA,168130,168141,NA,NA,NA,SP42
36,Lota lota,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Lotinae,Lota,Lota lota,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,164385,164665,NA,164701,550570,164724,164725,NA,NA,NA,SP60
37,Lutjanus griseus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Lutjanidae,Lutjaninae,Lutjanus,Lutjanus griseus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168845,643065,168846,168848,NA,NA,NA,SP82
38,Lutjanus apodus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Lutjanidae,Lutjaninae,Lutjanus,Lutjanus apodus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168845,643065,168846,168850,NA,NA,NA,SP85
39,micropterus dolomieu,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Centrarchidae,NA,Micropterus,Micropterus dolomieu,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168093,NA,168158,550562,NA,NA,NA,SP44
40,Myoxocephalus scorpius,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Scorpaeniformes,Cottoidei,Cottidae,NA,Myoxocephalus,Myoxocephalus scorpius,NA,Cottoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,166702,167185,167196,NA,167311,167318,NA,643429,NA,SP80
41,Oncorhynchus tshawytscha,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus tshawytscha,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161928,161929,NA,161931,623286,161974,161980,NA,NA,NA,SP39
42,Onychostoma barbatula,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,NA,Cypriniformes,NA,Cyprinidae,NA,Onychostoma,Onychostoma barbatulum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP22
43,Pagothenia borchgrevinki,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Pagothenia,Pagothenia borchgrevinki,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171099,171103,NA,642531,642902,NA,NA,NA,SP90
44,Paralichthys dentatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Pleuronectiformes,Pleuronectoidei,Paralichthyidae,NA,Paralichthys,Paralichthys dentatus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,172702,172707,553179,NA,172734,172735,NA,NA,NA,SP89
45,Parophrys vetulus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Pleuronectiformes,Pleuronectoidei,Pleuronectidae,Pleuronectinae,Parophrys,Parophrys vetulus,Pleuronectini,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,172702,172707,172859,615941,172891,172921,615947,NA,NA,SP88
46,perca fluviatilis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percidae,NA,Perca,Perca fluviatilis,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168356,NA,168468,168470,NA,NA,NA,SP12
47,Petromyzon marinus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Agnatha,NA,Cephalaspidomorphi,NA,Petromyzontiformes,NA,Petromyzontidae,NA,Petromyzon,Petromyzon marinus,NA,NA,NA,202423,914154,914156,158852,331030,914178,NA,159694,NA,159696,NA,159697,NA,159721,159722,NA,NA,NA,SP78
48,plectropomus leopardus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Serranidae,Epinephelinae,Plectropomus,Plectropomus leopardus,Epinephelini,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,167674,551018,167932,167933,643094,NA,NA,SP32
49,Pomadasys commersonnii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Haemulidae,NA,Pomadasys,Pomadasys commersonnii,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,169055,NA,169091,630243,NA,NA,NA,SP65
50,rutilus rutilus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Leuciscinae,Rutilus,Rutilus rutilus,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,1198935,1198940,163760,163761,NA,638796,NA,SP13
51,salmo trutta,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Salmo,Salmo trutta,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161928,161929,NA,161931,623286,161994,161997,NA,NA,NA,SP25
52,salmo salar,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Salmo,Salmo salar,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161928,161929,NA,161931,623286,161994,161996,NA,NA,NA,SP35
53,Salvelinus namaycush,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Salvelinus,Salvelinus namaycush,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161928,161929,NA,161931,623286,161999,162002,NA,NA,NA,SP62
54,Salvelinus alpinus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Salvelinus,Salvelinus alpinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP55
55,Sardinops sagax,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Clupeomorpha,Clupeiformes,Clupeoidei,Clupeidae,Clupeinae,Sardinops,Sardinops sagax,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161693,161694,161699,161700,551153,161728,161729,NA,NA,NA,SP20
56,Schizothorax prenanti,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Cyprinidae,NA,Schizothorax,Schizothorax prenanti,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,163342,NA,638910,690079,NA,638796,NA,SP47
57,scomber japonicus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Scombroidei,Scombridae,Scombrinae,Scomber,Scomber japonicus,Scombrini,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,172353,172398,638248,172411,172412,638253,NA,NA,SP4
58,Siganus rivulatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Acanthuroidei,Siganidae,NA,Siganus,Siganus rivulatus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,172249,172328,NA,172329,172346,NA,NA,NA,SP72
59,Siniperca knerii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percichthyidae,NA,Siniperca,Siniperca knerii,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,170315,NA,641853,641921,NA,NA,NA,SP10
60,Spinibarbus sinensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,NA,Cypriniformes,NA,Cyprinidae,NA,Spinibarbus,sinensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP48
61,sprattus sprattus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Clupeomorpha,Clupeiformes,Clupeoidei,Clupeidae,Clupeinae,Sprattus,Sprattus sprattus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161693,161694,161699,161700,551153,161788,161789,NA,NA,NA,SP7
62,Taurulus bubalis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Scorpaeniformes,Cottoidei,Cottidae,NA,Taurulus,Taurulus bubalis,NA,Cottoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,166702,167185,167196,NA,167389,167390,NA,643429,NA,SP81
63,tautogolabrus adspersus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Labridae,NA,Tautogolabrus,Tautogolabrus adspersus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,170477,NA,170480,170481,NA,NA,NA,SP27
64,Trachurus japonicus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Carangidae,Caranginae,Trachurus,Trachurus japonicus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168584,1228110,168585,642012,NA,NA,NA,SP43
65,Anarhichas lupus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Zoarcoidei,Anarhichadidae,NA,Anarhichas,Anarhichas lupus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,165214,171335,NA,171336,171341,NA,NA,NA,SP94
66,Prosopium williamsoni,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Coregoninae,Prosopium,Prosopium williamsoni,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161928,161929,NA,161931,623284,162007,162009,NA,NA,NA,SP95
67,Gadopsis marmoratus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percichthyidae,NA,Gadopsis,Gadopsis marmoratus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,170315,NA,170220,170221,NA,NA,NA,SP96
68,Gadopsis bispinosus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percichthyidae,NA,Gadopsis,Gadopsis bispinosus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,170315,NA,170220,641887,NA,NA,NA,SP97
69,Oncorhynchus gorbuscha,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus gorbuscha,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161928,161929,NA,161931,623286,161974,161975,NA,NA,NA,SP98
70,Barbus barbus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Cyprinidae,NA,Barbus,Barbus barbus,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,163342,NA,163618,163619,NA,638796,NA,SP99
71,Ictalurus furcatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Siluriformes,NA,Ictaluridae,NA,Ictalurus,Ictalurus furcatus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,163992,NA,163995,NA,163996,163997,NA,NA,NA,SP101
72,Gasterosteus aculeatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Gasterosteiformes,Gasterosteoidei,Gasterosteidae,NA,Gasterosteus,Gasterosteus aculeatus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,166361,166362,166363,NA,166364,166365,NA,NA,NA,SP102
